Id,Weekly_Sales
1_1_2012-11-02,15730.796523247738
1_1_2012-11-09,15842.479269122257
1_1_2012-11-16,15954.16201499678
1_1_2012-11-23,16065.8447608713
1_1_2012-11-30,16177.52750674582
1_1_2012-12-07,16289.210252620342
1_1_2012-12-14,16400.892998494863
1_1_2012-12-21,16512.575744369384
1_1_2012-12-28,16624.258490243905
1_1_2013-01-04,16735.941236118426
1_1_2013-01-11,16847.623981992947
1_1_2013-01-18,16959.306727867468
1_1_2013-01-25,17070.98947374199
1_1_2013-02-01,17182.672219616506
1_1_2013-02-08,17406.03771136555
1_1_2013-02-15,17517.72045724007
1_1_2013-02-22,17629.40320311459
1_1_2013-03-01,17741.08594898911
1_1_2013-03-08,17852.768694863633
1_1_2013-03-15,17964.451440738154
1_1_2013-03-22,18076.134186612675
1_1_2013-03-29,18187.816932487196
1_1_2013-04-05,18299.499678361717
1_1_2013-04-12,18411.182424236238
1_1_2013-04-19,18522.86517011076
1_1_2013-04-26,18634.54791598528
1_1_2013-05-03,18746.2306618598
1_1_2013-05-10,18857.913407734322
1_1_2013-05-17,18969.596153608843
1_1_2013-05-24,19081.27889948336
1_1_2013-05-31,19192.961645357886
1_1_2013-06-07,19304.644391232403
1_1_2013-06-14,19416.327137106924
1_1_2013-06-21,19528.009882981445
1_1_2013-06-28,19639.692628855966
1_1_2013-07-05,19751.375374730487
1_1_2013-07-12,19863.05812060501
1_1_2013-07-19,20086.42361235405
1_1_2013-07-26,20198.10635822857
1_2_2012-11-02,20309.789104103093
1_2_2012-11-09,20533.154595852135
1_2_2012-11-16,20756.520087601177
1_2_2012-11-23,20979.88557935022
1_2_2012-11-30,21091.56832522474
1_2_2012-12-07,21426.6165628483
1_2_2012-12-14,21761.664800471863
1_2_2012-12-21,21873.347546346384
1_2_2012-12-28,22096.713038095426
1_2_2013-01-04,22208.395783969947
1_2_2013-01-11,22320.078529844468
1_2_2013-01-18,23101.85775096611
1_2_2013-01-25,23548.588734464196
1_2_2013-02-01,23660.27148033872
1_2_2013-02-08,23883.636972087763
1_2_2013-02-15,24442.050701460365
1_2_2013-02-22,24553.733447334886
1_2_2013-03-01,24665.416193209407
1_2_2013-03-08,24777.098939083924
1_2_2013-03-15,24888.78168495845
1_2_2013-03-22,25112.14717670749
1_2_2013-03-29,25335.51266845653
1_2_2013-04-05,25670.560906080093
1_2_2013-04-12,25782.243651954614
1_2_2013-04-19,25893.926397829135
1_2_2013-04-26,26005.60914370366
1_2_2013-05-03,26117.291889578177
1_2_2013-05-10,26228.974635452694
1_2_2013-05-17,26340.65738132722
1_2_2013-05-24,26452.34012720174
1_2_2013-05-31,26564.02287307626
1_2_2013-06-07,26675.70561895078
1_2_2013-06-14,16125.252786229772
1_2_2013-06-21,16236.935532104293
1_2_2013-06-28,16348.618277978814
1_2_2013-07-05,16460.301023853335
1_2_2013-07-12,16571.983769727856
1_2_2013-07-19,16683.666515602377
1_2_2013-07-26,16795.3492614769
1_3_2012-11-02,16907.03200735142
1_3_2012-11-09,17018.71475322594
1_3_2012-11-16,17130.39749910046
1_3_2012-11-23,17242.080244974983
1_3_2012-11-30,17353.762990849504
1_3_2012-12-07,17465.445736724025
1_3_2012-12-14,17577.128482598542
1_3_2012-12-21,17800.493974347584
1_3_2012-12-28,17912.176720222105
1_3_2013-01-04,18023.859466096626
1_3_2013-01-11,18135.542211971147
1_3_2013-01-18,18247.22495784567
1_3_2013-01-25,18358.90770372019
1_3_2013-02-01,18470.59044959471
1_3_2013-02-08,18582.27319546923
1_3_2013-02-15,18693.955941343753
