Id,Weekly_Sales
1_1_2012-11-02,26727.65319111114
1_1_2012-11-09,25241.906029999995
1_1_2012-11-16,26469.715061878684
1_1_2012-11-23,27697.31994200005
1_1_2012-11-30,28092.26679187866
1_1_2012-12-07,25662.739249999988
1_1_2012-12-14,28513.73988892858
1_1_2012-12-21,29850.41877742852
1_1_2012-12-28,36301.25377799997
1_1_2013-01-04,35063.645256
1_1_2013-01-11,28584.767880000047
1_1_2013-01-18,32370.563081111097
1_1_2013-01-25,25017.880372446114
1_1_2013-02-01,26856.26052600003
1_1_2013-02-08,27682.283602000058
1_1_2013-02-15,30571.823357000027
1_1_2013-02-22,30386.42597100002
1_1_2013-03-01,32673.890679761895
1_1_2013-03-08,28846.57958292245
1_1_2013-03-15,26182.752174549405
1_1_2013-03-22,26114.00691909089
1_1_2013-03-29,29089.298656428604
1_1_2013-04-05,26297.06439500001
1_1_2013-04-12,24674.029560039606
1_1_2013-04-19,25373.04834892852
1_1_2013-04-26,24651.668282612725
1_1_2013-05-03,25403.615168517514
1_1_2013-05-10,25553.47042228066
1_1_2013-05-17,27978.802392280675
1_1_2013-05-24,21218.966822280705
1_1_2013-05-31,19532.886249184212
1_1_2013-06-07,21861.611136947384
1_1_2013-06-14,20981.445532280697
1_1_2013-06-21,21040.865822280703
1_1_2013-06-28,21113.41717228067
1_1_2013-07-05,20979.7167822807
1_1_2013-07-12,21335.86629228067
1_1_2013-07-19,21637.8147769474
1_1_2013-07-26,18946.041436517524
1_2_2012-11-02,45373.983011111006
1_2_2012-11-09,47986.723559999926
1_2_2012-11-16,45452.74483187858
1_2_2012-11-23,49189.924591999945
1_2_2012-11-30,45202.75836187868
1_2_2012-12-07,47988.13582999992
1_2_2012-12-14,44300.180117261996
1_2_2012-12-21,46807.21280742858
1_2_2012-12-28,49058.363158000015
1_2_2013-01-04,47496.40116700003
1_2_2013-01-11,47043.90343499998
1_2_2013-01-18,45902.635629444514
1_2_2013-01-25,42204.977895779564
1_2_2013-02-01,48197.273726
1_2_2013-02-08,49364.47430200003
1_2_2013-02-15,49893.74091699996
1_2_2013-02-22,48646.67209100001
1_2_2013-03-01,45664.53346976188
1_2_2013-03-08,44890.39290292257
1_2_2013-03-15,43317.96825254956
1_2_2013-03-22,48960.007059090814
1_2_2013-03-29,44931.114726428525
1_2_2013-04-05,47990.719205
1_2_2013-04-12,44275.954393373155
1_2_2013-04-19,43979.69679226197
1_2_2013-04-26,43023.62564594622
1_2_2013-05-03,42670.63495685096
1_2_2013-05-10,43120.141172280724
1_2_2013-05-17,45111.80106228069
1_2_2013-05-24,44516.98645228069
1_2_2013-05-31,44006.395964184216
1_2_2013-06-07,45896.24474694739
1_2_2013-06-14,45766.05684228071
1_2_2013-06-21,44773.10963228068
1_2_2013-06-28,44294.583902280705
1_2_2013-07-05,45741.84812228071
1_2_2013-07-12,44174.606932280694
1_2_2013-07-19,45988.99538694738
1_2_2013-07-26,42829.5859395176
1_3_2012-11-02,13047.06201049605
1_3_2012-11-09,14299.038267718266
1_3_2012-11-16,13475.054766263598
1_3_2012-11-23,17978.99002241668
1_3_2012-11-30,12291.060679120736
1_3_2012-12-07,13768.660382142883
1_3_2012-12-14,12113.441296633859
1_3_2012-12-21,13554.928735824495
1_3_2012-12-28,19101.573890570526
1_3_2013-01-04,15838.816485750016
1_3_2013-01-11,14188.998066718272
1_3_2013-01-18,12113.995047739892
1_3_2013-01-25,10899.01962003236
1_3_2013-02-01,17211.51597975002
1_3_2013-02-08,17852.972771583354
1_3_2013-02-15,17323.141661416685
1_3_2013-02-22,17456.42744065479
1_3_2013-03-01,12610.371487718272
1_3_2013-03-08,11611.469997884571
1_3_2013-03-15,11489.7527932767
1_3_2013-03-22,14138.276039090935
1_3_2013-03-29,13083.143599384939
1_3_2013-04-05,13828.577831289691
1_3_2013-04-12,11343.567022805577
